REM B-2 SPIRIT
IDENTIFY "B-2_SPIRIT"
CATEGORY HEAVYBOMBER
AFTBURNR FALSE               #HAVE AFTERBURNER?
THRAFTBN 0.0t                #THRUST WITH AFTERBURNER
THRMILIT 34.0t               #THRUST AT MILITARY POWER
WEIGHCLN 45t                 #WEIGHT CLEAN
WEIGFUEL 100t                #WEIGHT OF FUEL
WEIGLOAD 14t                 #WEIGHT OF PAYLOAD
FUELABRN 0.0kg               #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 3.6kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP -1.0m  1.0m   6.75m  #COCKPIT POSITION
LEFTGEAR -7.1m -3.00m -2.80m  #LEFT LANDING GEAR POSITION
RIGHGEAR  7.1m -3.00m -2.80m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -3.00m  7.50m  #WHEEL POSITION
ARRESTER  0.0m -2.19m -6.19m
MACHNGUN -0.0m -0.00m  0.00m  #MACHINE GUN POSITION
SMOKEGEN  0.0m  0.00m -10.3m  #SMOKE GENERATOR POSITION
VAPORPO0 26.0m  0.00m  -8.0m  #VAPOR POSITION (Wings Swept back)
VAPORPO1 26.0m  0.00m  -8.0m  #VAPOR POSITION (Wings Spread)
HTRADIUS 28.0m                #OUTSIDE SPHERE RADIUS


STRENGTH 8

CRITAOAP  20deg               #CRITICAL AOA POSITIVE
CRITAOAM -15deg               #CRITICAL AOA NEGATIVE

CRITSPED 0.8MACH              #CRITICAL SPEED
MAXSPEED 0.9MACH              #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.2                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.2                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.5                  #EFFECT OF GEAR FOR Cd
CDSPOILR 0.8                  #EFFECT OF SPOILER FOR Cd

WINGAREA 1000m^2              #WING AREA

MXIPTAOA 30.0deg              #MAX INPUT AOA
MXIPTSSA 5.0deg               #MAX INPUT SSA
MXIPTROL 45deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 100kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 160kt                #FULLY MANEUVABLE SPEED
CPITMANE 8.0                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 6.0                  #PITCH STABILITY CONSTANT
CYAWMANE 8.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 1.5                  #YAW STABILITY CONSTANT
CROLLMAN 8.0                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 1.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW TRUE                 #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m            #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                   #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

REM Slots must come before Inits.
HRDPOINT  1.44m -1.7m  3.5m $INTERNAL AGM65
HRDPOINT -1.44m -1.7m  3.5m $INTERNAL AGM65
HRDPOINT  0.72m -1.7m  3.5m $INTERNAL AGM65
HRDPOINT -0.72m -1.7m  3.5m $INTERNAL AGM65
HRDPOINT  1.44m -1.7m  0.0m $INTERNAL B500*3 B250*5 B500HD*3
HRDPOINT -1.44m -1.7m  0.0m $INTERNAL B500*3 B250*5 B500HD*3
HRDPOINT  0.72m -1.7m  0.0m $INTERNAL B500*3 B250*5 B500HD*3
HRDPOINT -0.72m -1.7m  0.0m $INTERNAL B500*3 B250*5 B500HD*3
HRDPOINT  1.44m -1.7m -0.5m $INTERNAL B500*3 B250*5 B500HD*3
HRDPOINT -1.44m -1.7m -0.5m $INTERNAL B500*3 B250*5 B500HD*3
HRDPOINT  0.72m -1.7m -0.5m $INTERNAL B500*3 B250*5 B500HD*3
HRDPOINT -0.72m -1.7m -0.5m $INTERNAL B500*3 B250*5 B500HD*3
BMBAYRCS 1.0
BOMINBAY TRUE
LMTBYHDP FALSE

INITIGUN 0                    #INITIAL GUN
INITIAAM 0                    #INITIAL AAM
INITIAGM 10                   #INITIAL AGM
INITBOMB 20
WEAPONCH AGM



RADARCRS 0.1                  #RADAR CROSS SECTION

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 0.8MACH              #CRUISING SPEED
REFACRUS 30000ft              #CRUISING ALTITUDE
REFTCRUS 0.9                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 150kt                 #LANDING SPEED
REFAOALD 10deg                 #LANDING AOA
REFLNRWY 2000m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.8                  #LANDING THROTTLE SETTING

AUTOCALC
