IDENTIFY "DIAMOND_ECLIPSE"
CATEGORY UTILITY
AFTBURNR FALSE                #HAVE AFTERBURNER?
PROPELLR 125HP                #PROPELLER ENGINE
PROPVMIN 100kt
WEIGHCLN  630kg               #WEIGHT CLEAN
WEIGFUEL  100kg               #WEIGHT OF FUEL
WEIGLOAD  300kg               #WEIGHT OF PAYLOAD
FUELABRN 0.0kg                #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.015kg              #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP -0.21m  0.40m  2.05m  #COCKPIT POSITION
EXCAMERA "CO-PILOT" 0.21m  0.30m  2.00m 0deg 0deg 0deg INSIDE
INSTPANL aircraft/eclipse.ist
ISPNLPOS -0.21m  0.40m  2.355404m
ISPNLSCL 0.38
SCRNCNTR 0.0 0.24
LEFTGEAR -1.0m -1.10m  1.44m  #LEFT LANDING GEAR POSITION
RIGHGEAR  1.0m -1.10m  1.44m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.08m -1.10m  3.19m  #WHEEL POSITION
ARRESTER  0.0m -0.34m -2.68m
MACHNGUN  0.00m  0.00m  0.00m  #MACHINE GUN POSITION
SMOKEGEN  0.0m -0.34m -2.68m  #SMOKE GENERATOR POSITION
VAPORPO0 5.36m 0.16m 1.10m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1 5.36m 0.16m 1.10m  #VAPOR POSITION (Wings Swept Back or no-VGW)
HTRADIUS  6.5m                #OUTSIDE SPHERE RADIUS


STRENGTH 5

CRITAOAP  17deg               #CRITICAL AOA POSITIVE
CRITAOAM -5deg                #CRITICAL AOA NEGATIVE

CRITSPED 164kt                #CRITICAL SPEED
MAXSPEED 164kt                #MAXIMUM SPEED

HASSPOIL FALSE                #HAS SPOILER?
RETRGEAR FALSE                #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?

FLAPPOSI 0.0                  #FLAP POSITION 1
FLAPPOSI 0.4                  #FLAP POSITION 2
FLAPPOSI 1.0                  #FLAP POSITION 3

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.4                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.8                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.0                  #EFFECT OF GEAR FOR Cd
CDSPOILR 0.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 11.6m^2                #WING AREA

MXIPTAOA 20.0deg              #MAX INPUT AOA
MXIPTSSA 8.0deg               #MAX INPUT SSA
MXIPTROL 90.0deg              #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 30kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 55kt                 #FULLY MANEUVABLE SPEED
CPITMANE 6.0                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 2.0                  #PITCH STABILITY CONSTANT
CYAWMANE 3.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.0                  #YAW STABILITY CONSTANT
CROLLMAN 3.0                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m           #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

REM Slots must come before Inits.

INITIGUN 0                    #INITIAL GUN
INITIAAM 0                    #INITIAL AAM
INITIAGM 0                    #INITIAL AGM
GUNSIGHT FALSE

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 106kt                #CRUISING SPEED
REFACRUS 6000ft              #CRUISING ALTITUDE
REFTCRUS 0.90                 #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 60kt                 #LANDING SPEED
REFAOALD  9deg                 #LANDING AOA
REFLNRWY 300m                 #RUNWAY REQUIRED TO STOP
REFTHRLD 0.6                  #LANDING THROTTLE SETTING

AUTOCALC
