REM F-117A NIGHTHAWK
IDENTIFY "F-117A_NIGHTHAWK"
CATEGORY ATTACKER
AFTBURNR FALSE                #HAVE AFTERBURNER?
THRAFTBN  0.0t                #THRUST WITH AFTERBURNER
THRMILIT 10.8t                #THRUST AT MILITARY POWER
WEIGHCLN 13.0t                #WEIGHT CLEAN
WEIGFUEL  7.0t                #WEIGHT OF FUEL
WEIGLOAD  2.0t                #WEIGHT OF PAYLOAD
FUELABRN 0.0kg                #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.80kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  0.0m  1.3m   4.20m  #COCKPIT POSITION
LEFTGEAR -2.3m -1.70m -2.60m  #LEFT LANDING GEAR POSITION
RIGHGEAR  2.3m -1.70m -2.60m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -1.80m  3.00m  #WHEEL POSITION
ARRESTER  0.0m -1.65m -8.20m
MACHNGUN  1.8m  0.63m  1.46m  #MACHINE GUN POSITION
GUNINTVL 0.04
SMOKEGEN  0.0m -0.00m -9.45m  #SMOKE GENERATOR POSITION
VAPORPO0  6.7m  0.10m -8.40m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  6.7m  0.10m -8.40m  #VAPOR POSITION (Wings Spread)
HTRADIUS 12.0m                #OUTSIDE SPHERE RADIUS


STRENGTH 8

CRITAOAP  15deg               #CRITICAL AOA POSITIVE
CRITAOAM -10deg               #CRITICAL AOA NEGATIVE

CRITSPED 0.7MACH              #CRITICAL SPEED
MAXSPEED 0.8MACH              #MAXIMUM SPEED

HASSPOIL FALSE                #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.1                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.2                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.5                  #EFFECT OF GEAR FOR Cd
CDSPOILR 2.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 60m^2                #WING AREA

MXIPTAOA 20.0deg              #MAX INPUT AOA
MXIPTSSA 5.0deg               #MAX INPUT SSA
MXIPTROL 360.0deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 80kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 130kt                #FULLY MANEUVABLE SPEED
CPITMANE 8.0                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 1.7                  #PITCH STABILITY CONSTANT
CYAWMANE 5.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.0                  #YAW STABILITY CONSTANT
CROLLMAN 3.0                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m           #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

REM Slots must come before Inits.
AAMSLOT_ 0.5m -0.8m 0.075m
AAMSLOT_ -0.5m -0.8m 0.075m
AAMVISIB FALSE
AAMSLOT_ 0.5m -0.8m 0.075m
AGMSLOT_ -0.5m -0.8m 0.075m
AGMVISIB FALSE
BOMBSLOT 0.2m -0.05m -0.8m
BOMBSLOT -0.2m -0.05m -0.8m
BOMVISIB FALSE
BMBAYRCS 1.0
BOMINBAY TRUE

INITIGUN 0                    #INITIAL GUN
INITIAAM 2                    #INITIAL AAM
INITIAGM 6                    #INITIAL AGM
INITBOMB 4                    #INITIAL BOMB
WEAPONCH AGM



RADARCRS 0.1                  #RADAR CROSS SECTION

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 0.8MACH              #CRUISING SPEED
REFACRUS 20000ft              #CRUISING ALTITUDE
REFTCRUS 0.8                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 130kt                #LANDING SPEED
REFAOALD 12deg                #LANDING AOA
REFLNRWY 2000m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.5                  #LANDING THROTTLE SETTING

AUTOCALC
