REM F-14 TOMCAT
IDENTIFY "F-14_TOMCAT"
CATEGORY FIGHTER
AFTBURNR TRUE                 #HAVE AFTERBURNER?
THRAFTBN 16.0t                #THRUST WITH AFTERBURNER
THRMILIT 10.0t                #THRUST AT MILITARY POWER
WEIGHCLN 18.0t                #WEIGHT CLEAN
WEIGFUEL  6.0t                #WEIGHT OF FUEL
WEIGLOAD 10.0t                #WEIGHT OF PAYLOAD
FUELABRN 6.5kg                #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.45kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  0.0m  1.1m   5.45m  #COCKPIT POSITION
LEFTGEAR -2.7m -1.95m -2.00m  #LEFT LANDING GEAR POSITION
RIGHGEAR  2.7m -1.95m -2.00m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -1.75m  4.65m  #WHEEL POSITION
ARRESTER  0.0m -1.546m -6.26m #Arresting hook position
MACHNGUN -0.5m -0.12m  7.51m  #MACHINE GUN POSITION
GUNINTVL 0.04
SMOKEGEN  0.0m -0.11m -7.71m  #SMOKE GENERATOR POSITION
VAPORPO0  5.1m  0.55m -5.60m  #VAPOR POSITION (Wings Swept back)
VAPORPO1  8.6m  0.55m -3.20m  #VAPOR POSITION (Wings Spread)
HTRADIUS  8.0m                #OUTSIDE SPHERE RADIUS


STRENGTH 10

CRITAOAP  20deg               #CRITICAL AOA POSITIVE
CRITAOAM -15deg               #CRITICAL AOA NEGATIVE

CRITSPED 0.9MACH              #CRITICAL SPEED
MAXSPEED 2.3MACH              #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW TRUE                 #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.6                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 1.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.2                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.2                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.5                  #EFFECT OF GEAR FOR Cd
CDSPOILR 1.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 60m^2                #WING AREA

MXIPTAOA 23.0deg              #MAX INPUT AOA
MXIPTSSA 5.0deg               #MAX INPUT SSA
MXIPTROL 360.0deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 40kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 100kt                #FULLY MANEUVABLE SPEED
CPITMANE 8.0                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 2.0                  #PITCH STABILITY CONSTANT
CYAWMANE 5.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.0                  #YAW STABILITY CONSTANT
CROLLMAN 3.0                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 1.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW TRUE                 #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m            #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

REM Slots must come before Inits.
HRDPOINT 2.4m 0.19m 1.18m AIM9 AIM120
HRDPOINT -2.4m 0.19m 1.18m AIM9 AIM120
HRDPOINT 0.53m -0.57m 2.75m AIM9 AIM120
HRDPOINT -0.53m -0.57m 2.75m AIM9 AIM120
HRDPOINT 0m -0.57m 0.12m AIM9 B500 AIM120 FLR
HRDPOINT 0m -0.57m -3.56m AIM9 B500 AIM120
HRDPOINT 2.11m 0.045m 1.56m AIM9 B500 AGM65 AIM120
HRDPOINT -2.11m 0.045m 1.56m AIM9 B500 AGM65 AIM120

MAXNMAAM 999
MAXNMAGM 999
MAXNBOMB 999
MAXNMRKT 38
LMTBYHDP TRUE                 #Limit Max Num Weapon by Hardpoint

INITIGUN 3000                 #INITIAL GUN
LOADWEPN AIM9 4
LOADWEPN AIM120 4



REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 0.9MACH              #CRUISING SPEED
REFACRUS 20000ft              #CRUISING ALTITUDE
REFTCRUS 0.8                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 110kt                #LANDING SPEED
REFAOALD 10deg                #LANDING AOA
REFLNRWY 1600m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.3                  #LANDING THROTTLE SETTING

AUTOCALC
