REM TU-160 Blackjack
IDENTIFY "TU-160_BLACKJACK"
CATEGORY HEAVYBOMBER
AFTBURNR TRUE                #HAVE AFTERBURNER?
THRAFTBN 92.0t               #THRUST WITH AFTERBURNER
THRMILIT 60.0t               #THRUST AT MILITARY POWER
WEIGHCLN 75t                #WEIGHT CLEAN
WEIGFUEL 40t                 #WEIGHT OF FUEL
WEIGLOAD 16t                 #WEIGHT OF PAYLOAD
FUELABRN 7.2kg               #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 3.6kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP -0.4m  2.5m  21.60m  #COCKPIT POSITION
LEFTGEAR -1.7m -3.80m -6.45m  #LEFT LANDING GEAR POSITION
RIGHGEAR  1.7m -3.80m -6.45m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -3.80m 17.50m  #WHEEL POSITION
ARRESTER  0.0m -3.11m -19.48m
MACHNGUN -0.0m -0.00m  0.00m  #MACHINE GUN POSITION
GUNINTVL 0.04
SMOKEGEN -0.0m  0.15m -13.3m  #SMOKE GENERATOR POSITION
VAPORPO0 -12.00m  -0.55m -14.25m  #VAPOR POSITION (Wings Swept back)
VAPORPO1 -21.10m  -0.50m -8.35m  #VAPOR POSITION (Wings Spread)
HTRADIUS 30.0m                #OUTSIDE SPHERE RADIUS


STRENGTH 15

CRITAOAP  20deg               #CRITICAL AOA POSITIVE
CRITAOAM -15deg               #CRITICAL AOA NEGATIVE

CRITSPED 1.0MACH              #CRITICAL SPEED
MAXSPEED 2.2MACH              #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW TRUE                 #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.2                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.2                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.5                  #EFFECT OF GEAR FOR Cd
CDSPOILR 2.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 300m^2                #WING AREA

MXIPTAOA 23.0deg              #MAX INPUT AOA
MXIPTSSA 5.0deg               #MAX INPUT SSA
MXIPTROL 180deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 100kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 160kt                #FULLY MANEUVABLE SPEED
CPITMANE 8.0                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 2.0                  #PITCH STABILITY CONSTANT
CYAWMANE 5.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.0                  #YAW STABILITY CONSTANT
CROLLMAN 3.0                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 1.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW TRUE                 #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m            #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                   #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED
WEAPONCH AGM

REM Slots must come before Inits.
HRDPOINT 0m -0.35m 0.06m $INTERNAL B500*20 B250*40 B500HD*20
HRDPOINT 0m -0.35m 0.06m $INTERNAL AGM65*6

INITIGUN 0                    #INITIAL GUN
INITIAAM 0                    #INITIAL AAM
INITIAGM 6                    #INITIAL AGM
INITBOMB 40                   #INITIAL BOMB
BMBAYRCS 0.0
BOMINBAY TRUE


REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 0.8MACH              #CRUISING SPEED
REFACRUS 30000ft              #CRUISING ALTITUDE
REFTCRUS 0.6                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 150kt                 #LANDING SPEED
REFAOALD 15deg                 #LANDING AOA
REFLNRWY 2500m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.4                  #LANDING THROTTLE SETTING

AUTOCALC
