REM SAAB VIGGEN
IDENTIFY "VIGGEN"
CATEGORY FIGHTER
AFTBURNR TRUE                 #HAVE AFTERBURNER?
THRAFTBN  7.4t                #THRUST WITH AFTERBURNER
THRMILIT  4.2t                #THRUST AT MILITARY POWER
WEIGHCLN 12.0t                #WEIGHT CLEAN
WEIGFUEL  3.0t                #WEIGHT OF FUEL
WEIGLOAD  3.0t                #WEIGHT OF PAYLOAD
FUELABRN 6.5kg                #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.45kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  0.0m  0.7m   3.80m  #COCKPIT POSITION
LEFTGEAR -2.4m -2.25m -3.25m  #LEFT LANDING GEAR POSITION
RIGHGEAR  2.4m -2.25m -3.25m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -2.50m  3.85m  #WHEEL POSITION
ARRESTER  0.0m -1.86m -6.72m
MACHNGUN  0.5m  0.25m  4.00m  #MACHINE GUN POSITION
GUNINTVL 0.04
SMOKEGEN -0.0m  0.55m -8.00m  #SMOKE GENERATOR POSITION
VAPORPO0  5.2m  0.00m -6.90m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  5.2m  0.00m -6.90m  #VAPOR POSITION (Wings Spread)
HTRADIUS  8.0m                #OUTSIDE SPHERE RADIUS


STRENGTH 8

CRITAOAP  20deg               #CRITICAL AOA POSITIVE
CRITAOAM -15deg               #CRITICAL AOA NEGATIVE

CRITSPED 0.9MACH              #CRITICAL SPEED
MAXSPEED 2.1MACH              #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.1                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.2                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.5                  #EFFECT OF GEAR FOR Cd
CDSPOILR 1.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 45m^2                #WING AREA

MXIPTAOA 23.0deg              #MAX INPUT AOA
MXIPTSSA 5.0deg               #MAX INPUT SSA
MXIPTROL 360.0deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 80kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 100kt                #FULLY MANEUVABLE SPEED
CPITMANE 8.0                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 2.0                  #PITCH STABILITY CONSTANT
CYAWMANE 5.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.0                  #YAW STABILITY CONSTANT
CROLLMAN 3.0                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m           #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

REM Slots must come before Inits.
HRDPOINT 3.99m -0.91m -5.6m AIM9 B250 RKT
HRDPOINT -3.99m -0.91m -5.6m AIM9 B250 RKT
HRDPOINT 0.50m -1.08m 0.62m AIM9 B250
HRDPOINT -0.50m -1.08m 0.62m AIM9 B250
HRDPOINT 2.44m -0.99m -3.39m AIM9 AGM65 B250
HRDPOINT -2.44m -0.99m -3.39m AIM9 AGM65 B250

MAXNMRKT 38
LMTBYHDP TRUE                 #Limit Max Num Weapon by Hardpoint

INITIGUN 3000                 #INITIAL GUN
LOADWEPN AIM9 4
LOADWEPN AGM65 2



REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 0.9MACH              #CRUISING SPEED
REFACRUS 20000ft              #CRUISING ALTITUDE
REFTCRUS 0.8                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 110kt                #LANDING SPEED
REFAOALD 10deg                #LANDING AOA
REFLNRWY 2000m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.3                  #LANDING THROTTLE SETTING

AUTOCALC
